instance, n_jobs, fitness, pct_dev, tenure, alpha, max_generations, max_stuck, time_ms
ta104,200,1276264,4.04434,5,67,0,20,1.92707e+06
ta104,200,1280847,4.41795,32,17,0,8,1.92937e+06
ta104,200,1276070,4.02852,7,130,0,41,1.93218e+06
ta104,200,1280937,4.42529,25,29,0,17,1.93266e+06
ta104,200,1277384,4.13564,36,143,0,26,1.93621e+06
ta104,200,1279497,4.3079,18,42,0,50,1.93624e+06
ta104,200,1276006,4.0233,14,118,0,32,1.94402e+06
ta104,200,1272521,3.7392,27,92,0,38,1.94422e+06
ta104,200,1277295,4.12839,23,168,0,44,1.9519e+06
ta104,200,1279163,4.28067,9,193,0,14,1.95234e+06
ta106,200,1269049,4.04617,14,118,0,32,1.92526e+06
ta106,200,1277456,4.73543,32,17,0,8,1.92877e+06
ta106,200,1279776,4.92565,25,29,0,17,1.93127e+06
ta106,200,1259844,3.29147,5,67,0,20,1.93715e+06
ta106,200,1276730,4.67591,18,42,0,50,1.93787e+06
ta106,200,1258323,3.16677,27,92,0,38,1.94178e+06
ta106,200,1261233,3.40535,7,130,0,41,1.94507e+06
ta106,200,1265183,3.7292,36,143,0,26,1.94719e+06
ta106,200,1267477,3.91728,9,193,0,14,1.94752e+06
ta106,200,1263903,3.62426,23,168,0,44,1.95126e+06
ta109,200,1280801,4.77491,25,29,0,17,1.92462e+06
ta109,200,1278558,4.59142,5,67,0,20,1.92529e+06
ta109,200,1285131,5.12912,32,17,0,8,1.92913e+06
ta109,200,1281097,4.79913,9,193,0,14,1.93017e+06
ta109,200,1278527,4.58889,18,42,0,50,1.93134e+06
ta109,200,1272692,4.11156,14,118,0,32,1.93273e+06
ta109,200,1277209,4.48107,7,130,0,41,1.93603e+06
ta109,200,1274985,4.29914,27,92,0,38,1.93675e+06
ta109,200,1271776,4.03663,23,168,0,44,1.93697e+06
ta109,200,1273688,4.19304,36,143,0,26,1.94727e+06
ta108,200,1289717,4.57812,5,67,0,20,1.92331e+06
ta108,200,1300880,5.48329,32,17,0,8,1.92607e+06
ta108,200,1283851,4.10247,9,193,0,14,1.93133e+06
ta108,200,1306074,5.90445,25,29,0,17,1.93256e+06
ta108,200,1277098,3.5549,7,130,0,41,1.93335e+06
ta108,200,1285329,4.22232,27,92,0,38,1.9354e+06
ta108,200,1295256,5.02726,18,42,0,50,1.93583e+06
ta108,200,1287917,4.43217,23,168,0,44,1.93829e+06
ta108,200,1284951,4.19166,14,118,0,32,1.94104e+06
ta108,200,1283824,4.10028,36,143,0,26,1.95053e+06
ta107,200,1301131,5.18321,25,29,0,17,1.92476e+06
ta107,200,1282185,3.65162,27,92,0,38,1.92524e+06
ta107,200,1303751,5.39501,32,17,0,8,1.92761e+06
ta107,200,1279467,3.43189,36,143,0,26,1.93109e+06
ta107,200,1286156,3.97263,18,42,0,50,1.93265e+06
ta107,200,1283476,3.75598,9,193,0,14,1.93739e+06
ta107,200,1285143,3.89074,5,67,0,20,1.93788e+06
ta107,200,1278933,3.38872,7,130,0,41,1.94355e+06
ta107,200,1283671,3.77174,23,168,0,44,1.94763e+06
ta107,200,1276029,3.15397,14,118,0,32,1.94898e+06
ta110,200,1298112,5.12186,18,42,0,50,1.92409e+06
ta110,200,1297764,5.09368,32,17,0,8,1.92907e+06
ta110,200,1286058,4.14572,27,92,0,38,1.93077e+06
ta110,200,1298877,5.18381,25,29,0,17,1.93325e+06
ta110,200,1293201,4.72416,5,67,0,20,1.93411e+06
ta110,200,1287075,4.22808,36,143,0,26,1.94125e+06
ta110,200,1292236,4.64602,14,118,0,32,1.94507e+06
ta110,200,1289565,4.42972,23,168,0,44,1.94888e+06
ta110,200,1282263,3.8384,9,193,0,14,1.95058e+06
ta110,200,1285176,4.07429,7,130,0,41,1.95153e+06
ta103,200,1307521,4.19972,27,92,0,38,1.92272e+06
ta103,200,1292144,2.97429,36,143,0,26,1.93373e+06
ta103,200,1292144,2.97429,7,130,0,41,1.93643e+06
ta103,200,1308125,4.24785,14,118,0,32,1.93863e+06
ta103,200,1295297,3.22556,23,168,0,44,1.94522e+06
ta105,200,1260938,3.74581,14,118,0,32,1.92273e+06
ta105,200,1271204,4.59046,23,168,0,44,1.92829e+06
ta105,200,1267216,4.26234,36,143,0,26,1.93544e+06
ta105,200,1260938,3.74581,7,130,0,41,1.93647e+06
ta105,200,1271094,4.58141,27,92,0,38,1.9368e+06
ta101,200,1261126,3.2214,23,168,0,44,1.9217e+06
ta101,200,1273737,4.25359,14,118,0,32,1.92391e+06
ta101,200,1256142,2.81346,27,92,0,38,1.92573e+06
ta101,200,1264922,3.53209,7,130,0,41,1.9263e+06
ta101,200,1262019,3.29449,36,143,0,26,1.93885e+06
ta102,200,1280544,3.95038,36,143,0,26,1.92172e+06
ta102,200,1280544,3.95038,14,118,0,32,1.92377e+06
ta102,200,1282225,4.08684,27,92,0,38,1.93245e+06
ta102,200,1282225,4.08684,7,130,0,41,1.93968e+06
ta102,200,1280544,3.95038,23,168,0,44,1.9432e+06
ta105,200,1258672,3.55937,27,92,0,38,1.9217e+06
ta105,200,1262675,3.88873,23,168,0,44,1.92497e+06
ta105,200,1268036,4.32981,14,118,0,32,1.92726e+06
ta105,200,1266082,4.16904,7,130,0,41,1.9315e+06
ta107,200,1277028,3.23472,7,130,0,41,1.92223e+06
ta107,200,1282693,3.69268,14,118,0,32,1.93227e+06
ta107,200,1288632,4.17279,27,92,0,38,1.93639e+06
ta107,200,1273966,2.98719,36,143,0,26,1.93815e+06
ta107,200,1290369,4.31321,23,168,0,44,1.94769e+06
ta102,200,1281979,4.06687,27,92,0,38,1.92916e+06
ta102,200,1280544,3.95038,23,168,0,44,1.92936e+06
ta102,200,1282225,4.08684,7,130,0,41,1.93113e+06
ta102,200,1280544,3.95038,36,143,0,26,1.93977e+06
ta102,200,1280544,3.95038,14,118,0,32,1.94355e+06
